student_id,total_activities,participation_status,registration_date
603,1,Active,2025-08-10
604,0,Not Participating,
605,1,Active,2025-08-02
606,1,Active,2025-08-07
607,2,Active,2025-08-25
608,1,Active,2025-08-22
609,1,Active,2025-08-21
610,0,Not Participating,
611,1,Active,2025-08-05
612,3,Active,2025-08-04
613,2,Active,2025-08-06
614,2,Active,2025-08-25
615,2,Active,2025-08-03
616,0,Not Participating,
617,4,Active,2025-08-13
618,1,Active,2025-08-02
619,0,Not Participating,
620,1,Active,2025-08-14
621,0,Not Participating,
622,1,Active,2025-08-14
623,2,Active,2025-08-18
624,3,Active,2025-08-14
625,0,Not Participating,
626,0,Not Participating,
627,3,Active,2025-08-02
628,2,Active,2025-08-20
629,0,Not Participating,
630,2,Active,2025-08-19
631,3,Active,2025-08-03
632,3,Active,2025-08-11
633,1,Active,2025-08-19
634,0,Not Participating,
635,2,Active,2025-08-09
636,1,Active,2025-08-23
637,0,Not Participating,
638,1,Active,2025-08-12
639,3,Active,2025-08-03
640,2,Active,2025-08-03
641,0,Not Participating,
642,4,Active,2025-08-09
643,0,Not Participating,
644,1,Active,2025-08-08
645,0,Not Participating,
646,0,Not Participating,
647,0,Not Participating,
648,3,Active,2025-08-08
649,1,Active,2025-08-27
650,1,Active,2025-08-26
651,4,Active,2025-08-02
652,0,Not Participating,
653,0,Not Participating,
654,3,Active,2025-08-04
655,2,Active,2025-08-15
656,3,Active,2025-08-06
657,2,Active,2025-08-03
658,2,Active,2025-08-12
659,0,Not Participating,
660,0,Not Participating,
661,2,Active,2025-08-02
662,4,Active,2025-08-13
663,3,Active,2025-08-05
664,0,Not Participating,
665,3,Active,2025-08-05
666,0,Not Participating,
667,2,Active,2025-08-09
668,2,Active,2025-08-04
669,2,Active,2025-08-15
670,1,Active,2025-08-02
671,2,Active,2025-08-20
672,1,Active,2025-08-03
673,1,Active,2025-08-03
674,0,Not Participating,
675,0,Not Participating,
676,2,Active,2025-08-13
677,1,Active,2025-08-07
678,2,Active,2025-08-17
679,3,Active,2025-08-04
680,1,Active,2025-08-16
681,0,Not Participating,
682,1,Active,2025-08-26
683,2,Active,2025-08-06
684,1,Active,2025-08-17
685,2,Active,2025-08-19
686,0,Not Participating,
687,4,Active,2025-08-06
688,0,Not Participating,
689,0,Not Participating,
690,2,Active,2025-08-03
691,0,Not Participating,
692,1,Active,2025-08-21
693,1,Active,2025-08-04
694,1,Active,2025-08-07
695,1,Active,2025-08-17
696,0,Not Participating,
697,0,Not Participating,
698,3,Active,2025-08-03
699,1,Active,2025-08-17
700,1,Active,2025-08-02
701,1,Active,2025-08-05
702,0,Not Participating,
703,2,Active,2025-08-14
704,0,Not Participating,
705,4,Active,2025-08-03
706,1,Active,2025-08-09
707,2,Active,2025-08-02
708,1,Active,2025-08-08
709,0,Not Participating,
710,2,Active,2025-08-19
711,0,Not Participating,
712,3,Active,2025-08-15
713,0,Not Participating,
714,2,Active,2025-08-06
715,2,Active,2025-08-15
716,0,Not Participating,
717,0,Not Participating,
718,0,Not Participating,
719,3,Active,2025-08-03
720,3,Active,2025-08-20
721,2,Active,2025-08-10
722,1,Active,2025-08-17
723,0,Not Participating,
724,0,Not Participating,
725,2,Active,2025-08-26
726,0,Not Participating,
727,1,Active,2025-08-22
728,0,Not Participating,
729,1,Active,2025-08-05
730,4,Active,2025-08-06
731,1,Active,2025-08-08
732,0,Not Participating,
733,0,Not Participating,
734,2,Active,2025-08-15
735,1,Active,2025-08-19
736,1,Active,2025-08-14
737,2,Active,2025-08-08
738,0,Not Participating,
739,1,Active,2025-08-18
740,0,Not Participating,
741,0,Not Participating,
742,1,Active,2025-08-22
743,2,Active,2025-08-09
744,2,Active,2025-08-12
745,0,Not Participating,
746,0,Not Participating,
747,3,Active,2025-08-10
748,0,Not Participating,
749,0,Not Participating,
750,1,Active,2025-08-26
751,1,Active,2025-08-27
752,2,Active,2025-08-02
753,2,Active,2025-08-20
754,3,Active,2025-08-02
755,2,Active,2025-08-10
756,0,Not Participating,
757,1,Active,2025-08-18
758,4,Active,2025-08-17
759,0,Not Participating,
760,0,Not Participating,
761,3,Active,2025-08-17
762,2,Active,2025-08-04
763,3,Active,2025-08-05
764,2,Active,2025-08-06
765,1,Active,2025-08-31
766,2,Active,2025-08-13
767,1,Active,2025-08-23
768,1,Active,2025-08-04
769,2,Active,2025-08-28
770,3,Active,2025-08-11
771,2,Active,2025-08-05
772,3,Active,2025-08-15
773,2,Active,2025-08-14
774,1,Active,2025-08-23
775,4,Active,2025-08-04
776,0,Not Participating,
777,0,Not Participating,
778,1,Active,2025-08-18
779,0,Not Participating,
780,0,Not Participating,
781,4,Active,2025-08-06
782,0,Not Participating,
783,2,Active,2025-08-08
784,3,Active,2025-08-04
785,0,Not Participating,
786,1,Active,2025-08-23
787,0,Not Participating,
788,0,Not Participating,
789,2,Active,2025-08-12
790,1,Active,2025-08-28
791,1,Active,2025-08-26
792,2,Active,2025-08-26
793,2,Active,2025-08-04
794,0,Not Participating,
795,2,Active,2025-08-12
796,1,Active,2025-08-03
797,0,Not Participating,
798,0,Not Participating,
799,0,Not Participating,
800,0,Not Participating,
801,4,Active,2025-08-19
802,2,Active,2025-08-03
803,1,Active,2025-08-27
804,3,Active,2025-08-12
805,2,Active,2025-08-07
806,2,Active,2025-08-02
807,0,Not Participating,
808,2,Active,2025-08-08
809,0,Not Participating,
810,0,Not Participating,
811,0,Not Participating,
812,1,Active,2025-08-12
813,0,Not Participating,
814,1,Active,2025-08-24
815,0,Not Participating,
816,1,Active,2025-08-10
817,0,Not Participating,
818,3,Active,2025-08-07
819,1,Active,2025-08-15
820,1,Active,2025-08-26
821,4,Active,2025-08-02
822,0,Not Participating,
823,1,Active,2025-08-23
824,1,Active,2025-08-04
825,1,Active,2025-08-06
826,1,Active,2025-08-18
827,2,Active,2025-08-11
828,0,Not Participating,
829,0,Not Participating,
830,1,Active,2025-08-11
831,2,Active,2025-08-11
832,0,Not Participating,
833,0,Not Participating,
834,1,Active,2025-08-14
835,1,Active,2025-08-06
836,3,Active,2025-08-08
837,1,Active,2025-08-20
838,0,Not Participating,
839,4,Active,2025-08-11
840,2,Active,2025-08-08
841,0,Not Participating,
842,0,Not Participating,
843,3,Active,2025-08-13
844,2,Active,2025-08-10
845,0,Not Participating,
846,0,Not Participating,
847,2,Active,2025-08-10
848,0,Not Participating,
849,1,Active,2025-08-25
850,2,Active,2025-08-23
851,1,Active,2025-08-06
852,2,Active,2025-08-12
853,3,Active,2025-08-22
854,2,Active,2025-08-06
855,1,Active,2025-08-03
856,2,Active,2025-08-07
857,0,Not Participating,
858,0,Not Participating,
859,0,Not Participating,
860,3,Active,2025-08-23
861,2,Active,2025-08-18
862,2,Active,2025-08-24
863,0,Not Participating,
864,0,Not Participating,
865,1,Active,2025-08-18
