student_id,current_semester_gpa,previous_semester_gpa,cumulative_gpa,gpa_trend,credits_registered_current,credits_completed_current,total_credits_registered,total_credits_completed,credit_completion_rate,first_year_gpa,first_year_credits_completed,first_year_attendance_percent,first_year_dropout_risk,registration_date,registration_delay_days,registration_status,courses_withdrawn_ever,courses_withdrawn_current,total_course_withdrawals,semester_number,courses_failed_ever,courses_repeated,academic_standing,probation_status
31,5.65,6.77,6.32,Declining,20,16,40,32,80.0,5.65,16,73.42,Medium,2025-07-29,2,On Time,1,0,1,2,0,0,Average,No
32,7.82,7.7,7.75,Stable,24,19,48,39,81.25,7.82,19,85.57,Low,2025-08-11,15,Very Late,1,0,1,2,1,1,Good,No
33,4.71,5.99,5.48,Declining,20,16,40,33,82.5,4.71,16,76.61,High,2025-07-27,0,On Time,1,0,1,2,2,2,Below Average,No
34,6.06,5.85,5.93,Stable,22,14,44,29,65.91,6.06,14,85.46,Medium,2025-07-28,1,On Time,0,0,0,2,0,0,Average,No
35,6.87,7.43,7.21,Declining,18,16,36,33,91.67,6.87,16,75.9,Medium,2025-07-27,0,On Time,0,0,0,2,0,0,Good,No
36,5.04,6.37,5.84,Declining,20,16,40,33,82.5,5.04,16,84.59,Medium,2025-07-27,0,On Time,1,0,1,2,2,1,Average,No
37,6.94,5.95,6.35,Improving,20,18,40,36,90.0,6.94,18,93.28,Medium,2025-07-27,0,On Time,2,0,2,2,0,0,Average,No
38,6.28,6.25,6.26,Stable,18,15,36,30,83.33,6.28,15,85.16,Medium,2025-07-29,2,On Time,1,0,1,2,1,1,Average,No
39,7.37,7.47,7.43,Stable,18,15,36,31,86.11,7.37,15,66.67,Low,2025-08-06,10,Very Late,0,0,0,2,0,0,Good,No
40,7.32,6.78,7.0,Improving,24,20,48,41,85.42,7.32,20,74.07,Low,2025-07-27,0,On Time,0,0,0,2,1,0,Good,No
41,8.19,7.99,8.07,Stable,20,19,40,38,95.0,8.19,19,72.07,Low,2025-07-28,1,On Time,0,0,0,2,0,0,Good,No
42,6.2,5.24,5.62,Improving,20,13,40,27,67.5,6.2,13,62.83,Medium,2025-07-30,3,Late,1,0,1,2,1,0,Average,No
43,5.75,6.03,5.92,Stable,20,16,40,33,82.5,5.75,16,86.66,Medium,2025-07-28,1,On Time,0,0,0,2,1,1,Average,No
44,8.15,7.48,7.75,Improving,24,22,48,45,93.75,8.15,22,90.44,Low,2025-07-28,1,On Time,0,0,0,2,0,0,Good,No
45,5.97,6.95,6.56,Declining,24,21,48,42,87.5,5.97,21,67.99,Medium,2025-08-01,5,Late,0,0,0,2,0,0,Average,No
46,5.25,5.19,5.21,Stable,20,15,40,31,77.5,5.25,15,62.37,Medium,2025-07-29,2,On Time,1,0,1,2,1,0,Below Average,No
47,8.69,7.48,7.96,Improving,18,16,36,32,88.89,8.69,16,79.35,Low,2025-08-11,15,Very Late,1,0,1,2,0,0,Good,No
48,4.58,5.8,5.31,Declining,18,12,36,25,69.44,4.58,12,62.38,High,2025-08-03,7,Late,0,0,0,2,0,0,Below Average,No
49,6.54,6.78,6.68,Stable,18,15,36,30,83.33,6.54,15,71.34,Medium,2025-07-27,0,On Time,1,0,1,2,2,1,Average,No
50,7.68,6.77,7.13,Improving,20,18,40,37,92.5,7.68,18,81.31,Low,2025-07-28,1,On Time,1,0,1,2,0,0,Good,No
51,7.36,7.26,7.3,Stable,22,19,44,38,86.36,7.36,19,74.11,Low,2025-08-03,7,Late,0,0,0,2,1,0,Good,No
52,6.44,7.21,6.9,Declining,18,16,36,32,88.89,6.44,16,72.11,Medium,2025-07-27,0,On Time,1,0,1,2,2,0,Average,No
53,4.72,5.86,5.4,Declining,22,16,44,33,75.0,4.72,16,64.31,High,2025-07-27,0,On Time,0,0,0,2,1,0,Below Average,No
54,5.87,5.92,5.9,Stable,22,16,44,32,72.73,5.87,16,91.67,Medium,2025-07-27,0,On Time,1,1,2,2,1,1,Average,No
55,5.18,5.44,5.34,Stable,20,13,40,26,65.0,5.18,13,89.69,Medium,2025-07-27,0,On Time,0,0,0,2,2,2,Below Average,No
56,7.43,7.38,7.4,Stable,20,17,40,35,87.5,7.43,17,63.84,Low,2025-07-28,1,On Time,0,1,1,2,0,0,Good,No
57,5.41,5.53,5.48,Stable,18,15,36,30,83.33,5.41,15,65.0,Medium,2025-07-30,3,Late,0,0,0,2,1,1,Below Average,No
58,4.61,5.15,4.93,Declining,18,14,36,29,80.56,4.61,14,82.05,High,2025-08-06,10,Very Late,1,0,1,2,3,2,Below Average,Yes
59,5.34,5.59,5.49,Stable,20,16,40,33,82.5,5.34,16,78.5,Medium,2025-08-03,7,Late,0,0,0,2,1,1,Below Average,No
60,6.4,7.77,7.22,Declining,24,21,48,43,89.58,6.4,21,63.42,Medium,2025-08-03,7,Late,0,0,0,2,0,0,Good,No
61,6.78,5.43,5.97,Improving,20,13,60,39,65.0,5.63,42,76.45,Low,2025-08-01,5,Late,1,0,1,3,0,0,Average,No
62,7.26,5.95,6.47,Improving,18,16,54,50,92.59,6.84,44,75.59,Low,2025-08-06,10,Very Late,0,0,0,3,2,2,Average,No
63,8.38,8.5,8.45,Stable,22,21,66,65,98.48,8.64,44,91.64,Low,2025-07-27,0,On Time,0,0,0,3,0,0,Good,No
64,6.52,7.71,7.23,Declining,24,21,72,65,90.28,7.27,44,90.16,Low,2025-08-03,7,Late,0,0,0,3,0,0,Good,No
65,5.95,6.51,6.29,Declining,18,16,54,50,92.59,5.32,36,71.93,Low,2025-07-27,0,On Time,0,0,0,3,0,0,Average,No
66,6.2,5.66,5.88,Improving,18,11,54,33,61.11,5.63,38,72.07,Low,2025-07-27,0,On Time,0,0,0,3,0,0,Average,No
67,8.56,7.84,8.13,Improving,18,17,54,51,94.44,7.34,42,76.21,Low,2025-07-27,0,On Time,0,0,0,3,0,0,Good,No
68,6.94,8.06,7.61,Declining,24,20,72,61,84.72,6.89,40,85.42,Low,2025-07-27,0,On Time,0,0,0,3,0,0,Good,No
69,7.16,5.92,6.42,Improving,24,20,72,62,86.11,5.68,38,89.58,Low,2025-07-29,2,On Time,0,0,0,3,0,0,Average,No
70,8.92,7.62,8.14,Improving,20,19,60,57,95.0,8.2,38,85.86,Low,2025-07-27,0,On Time,0,0,0,3,0,0,Good,No
71,7.09,7.38,7.26,Stable,22,19,66,57,86.36,7.49,44,81.04,Low,2025-07-27,0,On Time,0,0,0,3,1,1,Good,No
72,6.91,7.65,7.35,Declining,18,16,54,50,92.59,6.41,42,89.74,Low,2025-07-27,0,On Time,0,0,0,3,0,0,Good,No
73,7.39,5.97,6.54,Improving,22,19,66,58,87.88,5.71,36,88.58,Low,2025-08-03,7,Late,0,0,0,3,0,0,Average,No
74,6.69,6.78,6.74,Stable,20,16,60,48,80.0,6.41,40,71.01,Low,2025-07-27,0,On Time,0,0,0,3,0,0,Average,No
75,6.79,5.86,6.23,Improving,20,16,60,49,81.67,6.44,40,66.23,Low,2025-07-27,0,On Time,1,0,1,3,0,0,Average,No
76,7.23,6.24,6.64,Improving,18,16,54,49,90.74,6.07,40,89.12,Low,2025-08-03,7,Late,0,0,0,3,1,1,Average,No
77,6.26,6.88,6.63,Declining,24,19,72,57,79.17,6.67,42,86.07,Low,2025-07-28,1,On Time,0,0,0,3,0,0,Average,No
78,4.72,5.34,5.09,Declining,22,15,66,46,69.7,5.3,36,87.19,Low,2025-07-28,1,On Time,0,0,0,3,2,1,Below Average,No
79,5.42,6.8,6.25,Declining,24,21,72,63,87.5,5.93,36,72.86,Low,2025-07-27,0,On Time,0,0,0,3,1,1,Average,No
80,6.98,8.09,7.65,Declining,22,20,66,61,92.42,8.11,42,91.58,Low,2025-08-01,5,Late,0,0,0,3,0,0,Good,No
81,7.93,7.9,7.91,Stable,22,20,66,62,93.94,8.12,36,76.34,Low,2025-07-27,0,On Time,0,0,0,3,0,0,Good,No
82,6.33,6.34,6.34,Stable,20,17,60,51,85.0,6.47,36,71.55,Low,2025-08-03,7,Late,1,0,1,3,0,0,Average,No
83,4.8,5.89,5.45,Declining,18,14,54,42,77.78,5.3,42,94.67,Low,2025-07-27,0,On Time,1,0,1,3,1,1,Below Average,No
84,4.63,5.46,5.13,Declining,22,16,66,49,74.24,5.02,36,77.92,Low,2025-07-28,1,On Time,2,0,2,3,2,0,Below Average,No
85,8.38,8.31,8.34,Stable,22,21,66,65,98.48,8.05,40,78.72,Low,2025-07-27,0,On Time,0,0,0,3,0,0,Good,No
86,6.31,5.4,5.76,Improving,18,13,54,41,75.93,6.16,40,78.68,Low,2025-07-30,3,Late,0,0,0,3,1,1,Average,No
87,5.58,5.64,5.62,Stable,20,13,60,39,65.0,5.13,40,68.61,Low,2025-08-06,10,Very Late,1,0,1,3,0,0,Average,No
88,6.54,5.09,5.67,Improving,20,16,80,67,83.75,4.83,36,82.09,Low,2025-07-27,0,On Time,0,0,0,4,1,0,Average,No
89,5.21,5.5,5.38,Stable,24,15,96,61,63.54,4.46,40,78.21,Low,2025-07-27,0,On Time,1,0,1,4,2,0,Below Average,No
90,5.95,5.78,5.85,Stable,22,17,88,71,80.68,5.91,40,80.7,Low,2025-07-27,0,On Time,0,0,0,4,2,0,Average,No
91,4.43,5.73,5.21,Declining,18,14,72,58,80.56,4.54,40,65.36,Low,2025-07-27,0,On Time,0,0,0,4,0,0,Below Average,No
92,8.2,7.22,7.61,Improving,22,17,88,70,79.55,7.93,44,84.79,Low,2025-07-27,0,On Time,0,0,0,4,0,0,Good,No
93,7.77,6.94,7.27,Improving,20,17,80,69,86.25,7.39,42,81.15,Low,2025-07-27,0,On Time,0,0,0,4,0,0,Good,No
94,7.49,6.94,7.16,Improving,18,16,72,67,93.06,6.92,36,79.92,Low,2025-07-27,0,On Time,0,0,0,4,0,0,Good,No
95,4.8,6.04,5.54,Declining,24,19,96,78,81.25,4.68,38,92.74,Low,2025-08-03,7,Late,1,0,1,4,1,1,Average,No
96,7.69,6.48,6.96,Improving,20,17,80,68,85.0,6.46,42,73.85,Low,2025-07-27,0,On Time,0,0,0,4,0,0,Average,No
97,5.57,5.33,5.43,Stable,18,11,72,45,62.5,4.68,44,66.24,Low,2025-08-01,5,Late,0,0,0,4,0,0,Below Average,No
98,6.86,5.8,6.22,Improving,24,20,96,80,83.33,6.58,36,77.83,Low,2025-07-27,0,On Time,1,0,1,4,0,0,Average,No
99,4.81,5.98,5.51,Declining,20,14,80,58,72.5,4.61,42,88.62,Low,2025-07-28,1,On Time,0,0,0,4,0,0,Average,No
100,7.63,6.29,6.83,Improving,18,16,72,65,90.28,6.89,40,94.71,Low,2025-07-27,0,On Time,1,0,1,4,0,0,Average,No
101,7.26,7.17,7.21,Stable,22,18,88,75,85.23,7.56,36,70.78,Low,2025-07-29,2,On Time,0,0,0,4,0,0,Good,No
102,6.95,5.85,6.29,Improving,18,14,72,59,81.94,5.55,38,77.18,Low,2025-07-27,0,On Time,1,0,1,4,0,0,Average,No
103,6.45,6.28,6.35,Stable,18,16,72,64,88.89,6.33,38,92.2,Low,2025-07-27,0,On Time,0,0,0,4,1,0,Average,No
104,5.4,5.61,5.53,Stable,22,18,88,72,81.82,5.58,38,65.38,Low,2025-07-27,0,On Time,0,0,0,4,0,0,Average,No
105,7.21,6.99,7.08,Stable,20,16,80,67,83.75,6.87,42,87.36,Low,2025-07-28,1,On Time,0,0,0,4,1,0,Good,No
106,6.78,6.87,6.83,Stable,24,21,96,86,89.58,6.69,38,92.48,Low,2025-08-01,5,Late,1,1,2,4,0,0,Average,No
107,7.52,7.02,7.22,Improving,18,16,72,64,88.89,7.24,44,66.97,Low,2025-07-29,2,On Time,1,0,1,4,0,0,Good,No
108,6.8,6.84,6.82,Stable,20,18,80,75,93.75,6.33,40,82.99,Low,2025-07-27,0,On Time,1,0,1,4,0,0,Average,No
109,5.97,5.81,5.87,Stable,18,14,72,58,80.56,5.98,36,80.18,Low,2025-07-27,0,On Time,1,0,1,4,0,0,Average,No
110,5.54,6.18,5.92,Declining,18,12,72,50,69.44,5.27,36,89.26,Low,2025-07-29,2,On Time,0,0,0,4,1,1,Average,No
111,7.57,7.47,7.51,Stable,24,22,96,90,93.75,6.7,38,88.92,Low,2025-07-27,0,On Time,0,0,0,4,0,0,Good,No
112,6.91,7.59,7.32,Declining,22,17,88,71,80.68,6.94,40,75.6,Low,2025-07-27,0,On Time,0,1,1,4,0,0,Good,No
113,7.61,7.44,7.51,Stable,24,22,96,90,93.75,6.91,42,84.64,Low,2025-07-30,3,Late,0,0,0,4,0,0,Good,No
114,8.89,7.67,8.16,Improving,20,19,80,79,98.75,8.55,44,66.92,Low,2025-07-29,2,On Time,0,0,0,4,0,0,Good,No
115,6.85,7.03,6.96,Stable,18,15,72,61,84.72,7.29,44,74.91,Low,2025-07-27,0,On Time,0,0,0,4,0,0,Average,No
116,6.63,6.73,6.69,Stable,22,19,110,95,86.36,6.09,40,84.9,Low,2025-08-01,5,Late,0,0,0,5,0,0,Average,No
117,7.39,5.96,6.53,Improving,20,17,100,89,89.0,7.02,36,83.38,Low,2025-07-27,0,On Time,1,0,1,5,1,0,Average,No
118,8.18,7.45,7.74,Improving,18,15,90,77,85.56,8.16,44,78.56,Low,2025-07-27,0,On Time,0,0,0,5,0,0,Good,No
119,5.55,6.97,6.4,Declining,20,17,100,85,85.0,6.08,38,85.66,Low,2025-08-03,7,Late,1,0,1,5,1,1,Average,No
120,7.92,7.99,7.96,Stable,18,15,90,77,85.56,7.64,40,73.66,Low,2025-07-27,0,On Time,0,0,0,5,0,0,Good,No
121,7.23,7.5,7.39,Stable,18,15,90,79,87.78,6.56,42,90.87,Low,2025-07-27,0,On Time,0,0,0,5,0,0,Good,No
122,6.23,6.05,6.12,Stable,24,19,120,98,81.67,5.4,36,82.62,Low,2025-08-03,7,Late,2,0,2,5,0,0,Average,No
123,6.75,7.94,7.46,Declining,22,19,110,99,90.0,6.88,36,72.97,Low,2025-07-28,1,On Time,0,0,0,5,0,0,Good,No
124,8.06,8.34,8.23,Stable,18,17,90,87,96.67,7.97,36,89.52,Low,2025-07-29,2,On Time,0,0,0,5,0,0,Good,No
125,6.93,6.07,6.41,Improving,18,16,90,81,90.0,6.82,40,66.68,Low,2025-07-28,1,On Time,1,0,1,5,0,0,Average,No
126,7.76,6.95,7.27,Improving,24,22,120,113,94.17,6.79,40,74.78,Low,2025-08-01,5,Late,0,0,0,5,0,0,Good,No
127,6.97,5.58,6.14,Improving,24,22,120,110,91.67,6.04,36,68.39,Low,2025-07-27,0,On Time,0,0,0,5,2,1,Average,No
128,7.71,7.76,7.74,Stable,24,21,120,109,90.83,7.35,40,91.53,Low,2025-07-28,1,On Time,0,0,0,5,0,0,Good,No
129,6.99,7.81,7.48,Declining,22,19,110,96,87.27,6.55,38,77.07,Low,2025-07-27,0,On Time,0,0,0,5,0,0,Good,No
130,5.48,6.7,6.21,Declining,18,15,90,79,87.78,5.99,44,94.09,Low,2025-07-28,1,On Time,0,0,0,5,0,0,Average,No
131,6.35,6.13,6.22,Stable,24,22,120,113,94.17,6.48,36,72.88,Low,2025-07-27,0,On Time,0,0,0,5,1,0,Average,No
132,5.0,4.73,4.84,Stable,18,10,90,54,60.0,4.17,38,86.62,Low,2025-07-30,3,Late,1,0,1,5,2,1,Below Average,Yes
133,6.57,5.81,6.11,Improving,20,18,100,93,93.0,6.15,42,65.88,Low,2025-07-29,2,On Time,0,0,0,5,1,1,Average,No
134,6.5,6.65,6.59,Stable,20,16,100,81,81.0,5.67,44,94.64,Low,2025-07-28,1,On Time,0,0,0,5,0,0,Average,No
135,5.49,5.75,5.65,Stable,22,16,110,80,72.73,5.06,40,65.79,Low,2025-07-27,0,On Time,0,0,0,5,1,1,Average,No
136,5.88,6.88,6.48,Declining,24,19,120,96,80.0,6.79,38,89.53,Low,2025-07-27,0,On Time,1,0,1,5,1,1,Average,No
137,7.69,7.65,7.67,Stable,24,19,120,96,80.0,7.12,44,78.16,Low,2025-07-28,1,On Time,1,0,1,5,1,0,Good,No
138,5.54,5.61,5.58,Stable,20,12,100,63,63.0,5.7,44,81.76,Low,2025-07-27,0,On Time,0,0,0,5,0,0,Average,No
139,7.16,7.11,7.13,Stable,20,16,100,83,83.0,6.62,44,68.95,Low,2025-07-28,1,On Time,0,0,0,5,0,0,Good,No
140,5.33,5.25,5.28,Stable,18,12,90,61,67.78,5.76,38,87.86,Low,2025-08-01,5,Late,2,0,2,5,0,0,Below Average,No
141,8.26,7.06,7.54,Improving,18,15,108,93,86.11,7.33,44,89.26,Low,2025-08-03,7,Late,0,0,0,6,0,0,Good,No
142,7.78,7.79,7.79,Stable,22,18,132,110,83.33,6.84,38,70.1,Low,2025-08-16,20,Very Late,0,0,0,6,0,0,Good,No
143,7.15,7.13,7.14,Stable,22,20,132,120,90.91,6.32,36,70.12,Low,2025-07-27,0,On Time,0,0,0,6,0,0,Good,No
144,5.13,6.41,5.9,Declining,24,18,144,109,75.69,5.12,42,75.13,Low,2025-07-27,0,On Time,1,0,1,6,2,2,Average,No
145,7.77,7.15,7.4,Improving,22,20,132,122,92.42,7.41,38,78.35,Low,2025-07-27,0,On Time,0,0,0,6,0,0,Good,No
146,6.6,5.38,5.87,Improving,18,14,108,89,82.41,6.31,44,93.84,Low,2025-07-28,1,On Time,1,0,1,6,0,0,Average,No
147,6.24,7.58,7.04,Declining,18,16,108,100,92.59,6.25,42,70.72,Low,2025-07-27,0,On Time,1,0,1,6,0,0,Good,No
148,7.79,7.16,7.41,Improving,18,14,108,87,80.56,7.22,36,88.7,Low,2025-07-27,0,On Time,0,0,0,6,0,0,Good,No
149,4.26,5.11,4.77,Declining,18,15,108,90,83.33,4.78,44,91.4,Low,2025-08-03,7,Late,0,0,0,6,3,0,Below Average,Yes
150,6.76,8.1,7.56,Declining,18,14,108,88,81.48,6.94,42,91.55,Low,2025-07-27,0,On Time,0,0,0,6,0,0,Good,No
151,7.37,6.05,6.58,Improving,20,18,120,110,91.67,6.32,38,69.5,Low,2025-08-01,5,Late,0,0,0,6,0,0,Average,No
152,6.57,6.44,6.49,Stable,18,16,108,101,93.52,6.14,36,79.94,Low,2025-07-27,0,On Time,0,0,0,6,0,0,Average,No
153,4.81,5.68,5.33,Declining,22,14,132,85,64.39,4.75,44,92.74,Low,2025-07-27,0,On Time,0,0,0,6,1,1,Below Average,No
154,5.95,5.81,5.87,Stable,22,17,132,102,77.27,5.09,36,84.92,Low,2025-07-27,0,On Time,1,0,1,6,0,0,Average,No
155,6.83,5.44,6.0,Improving,20,18,120,111,92.5,5.34,42,78.2,Low,2025-07-27,0,On Time,1,0,1,6,0,0,Average,No
156,7.78,7.83,7.81,Stable,22,19,132,117,88.64,7.06,40,70.6,Low,2025-07-27,0,On Time,0,0,0,6,0,0,Good,No
157,7.31,6.79,7.0,Improving,20,17,120,107,89.17,6.97,40,83.0,Low,2025-07-27,0,On Time,0,0,0,6,0,0,Good,No
158,6.71,7.01,6.89,Stable,20,18,120,112,93.33,6.08,40,68.22,Low,2025-07-28,1,On Time,0,0,0,6,0,0,Average,No
159,6.66,6.96,6.84,Stable,20,16,120,101,84.17,7.22,36,94.17,Low,2025-07-27,0,On Time,0,0,0,6,1,1,Average,No
160,5.43,6.2,5.89,Declining,20,12,120,75,62.5,5.62,36,71.27,Low,2025-07-30,3,Late,0,0,0,6,2,2,Average,No
161,5.3,5.43,5.38,Stable,20,16,120,96,80.0,4.57,38,85.75,Low,2025-07-27,0,On Time,0,0,0,6,1,0,Below Average,No
162,6.58,6.65,6.62,Stable,24,20,144,123,85.42,5.68,38,74.56,Low,2025-07-27,0,On Time,1,0,1,6,0,0,Average,No
163,6.85,7.86,7.46,Declining,18,16,108,99,91.67,6.48,38,77.55,Low,2025-07-28,1,On Time,0,0,0,6,0,0,Good,No
164,6.21,6.21,6.21,Stable,24,20,144,122,84.72,5.27,44,66.13,Low,2025-08-01,5,Late,0,0,0,6,1,1,Average,No
165,6.98,6.82,6.88,Stable,24,20,144,122,84.72,6.68,44,94.66,Low,2025-08-11,15,Very Late,0,0,0,6,0,0,Average,No
166,7.96,6.75,7.23,Improving,22,20,154,140,90.91,7.28,42,90.66,Low,2025-07-27,0,On Time,0,0,0,7,1,1,Good,No
167,8.72,7.91,8.23,Improving,22,21,154,149,96.75,8.52,44,75.56,Low,2025-07-28,1,On Time,0,0,0,7,0,0,Good,No
168,5.93,7.17,6.67,Declining,20,16,140,114,81.43,6.04,44,71.29,Low,2025-07-27,0,On Time,0,0,0,7,0,0,Average,No
169,7.44,7.48,7.46,Stable,18,15,126,107,84.92,7.42,42,82.25,Low,2025-07-27,0,On Time,0,0,0,7,0,0,Good,No
170,5.11,5.84,5.55,Declining,22,17,154,121,78.57,4.71,36,94.31,Low,2025-07-29,2,On Time,0,0,0,7,2,1,Average,No
171,5.37,6.22,5.88,Declining,20,15,140,106,75.71,6.17,36,74.0,Low,2025-08-01,5,Late,0,0,0,7,0,0,Average,No
172,6.31,5.15,5.61,Improving,22,18,154,130,84.42,4.64,44,90.56,Low,2025-08-03,7,Late,0,0,0,7,2,0,Average,No
173,8.83,7.74,8.18,Improving,20,19,140,134,95.71,8.68,36,70.82,Low,2025-07-27,0,On Time,0,0,0,7,0,0,Good,No
174,7.36,7.52,7.46,Stable,22,19,154,136,88.31,6.65,40,76.83,Low,2025-07-27,0,On Time,0,0,0,7,0,0,Good,No
175,6.58,6.43,6.49,Stable,22,20,154,145,94.16,6.03,44,74.11,Low,2025-08-01,5,Late,0,0,0,7,0,0,Average,No
176,8.6,7.77,8.1,Improving,20,19,140,134,95.71,7.63,38,72.82,Low,2025-07-27,0,On Time,0,0,0,7,0,0,Good,No
177,4.24,5.73,5.13,Declining,24,17,168,124,73.81,5.44,36,74.87,Low,2025-07-29,2,On Time,0,0,0,7,2,2,Below Average,No
178,5.5,5.55,5.53,Stable,24,19,168,138,82.14,5.6,40,76.2,Low,2025-07-27,0,On Time,0,0,0,7,1,1,Average,No
179,4.9,6.13,5.64,Declining,20,14,140,99,70.71,5.34,44,73.37,Low,2025-07-29,2,On Time,1,0,1,7,0,0,Average,No
180,5.32,6.07,5.77,Declining,24,15,168,108,64.29,6.04,40,66.96,Low,2025-07-27,0,On Time,0,0,0,7,1,0,Average,No
181,8.48,8.4,8.43,Stable,20,19,140,138,98.57,8.44,40,90.16,Low,2025-07-28,1,On Time,0,0,0,7,0,0,Good,No
182,7.28,6.98,7.1,Stable,22,20,154,141,91.56,6.95,36,83.1,Low,2025-07-30,3,Late,0,0,0,7,0,0,Good,No
183,8.42,8.16,8.26,Stable,18,17,126,121,96.03,7.43,36,66.96,Low,2025-07-29,2,On Time,0,0,0,7,0,0,Good,No
184,7.2,7.27,7.24,Stable,18,16,126,117,92.86,7.17,42,93.39,Low,2025-07-30,3,Late,0,0,0,7,0,0,Good,No
185,6.53,6.33,6.41,Stable,24,21,168,151,89.88,6.05,40,74.48,Low,2025-08-03,7,Late,1,0,1,7,1,1,Average,No
186,5.45,5.47,5.46,Stable,22,16,154,113,73.38,5.25,44,73.81,Low,2025-07-27,0,On Time,0,0,0,7,0,0,Below Average,No
