student_id,activity_name,activity_category,registration_date,role,activity_level,hours_per_week,total_events_participated,achievement,status,faculty_coordinator
58,Innovation Club,Academic,2025-08-30,Member,Low,2,2,Best Performer Award,Inactive,Mr. Vinod Khanna
58,Photography Club,Cultural,2025-08-05,Active Member,High,8,6,,Active,Mr. Vinod Khanna
61,Basketball Team,Sports,2025-08-24,Active Member,High,9,9,,Active,Prof. Nisha Gupta
62,Photography Club,Cultural,2025-08-22,Core Team,High,6,9,,Active,Prof. Nisha Gupta
63,NCC,Social,2025-08-09,Active Member,High,10,8,,Active,Prof. Nisha Gupta
63,Photography Club,Cultural,2025-08-23,Member,Medium,4,5,Winner - Inter College Competition,Active,Prof. Nisha Gupta
64,Student Council,Other,2025-08-12,Member,High,7,8,,Inactive,Prof. Nisha Gupta
64,Rotaract Club,Social,2025-08-30,Active Member,High,10,5,,Inactive,Prof. Nisha Gupta
64,Web Development Club,Technical,2025-08-29,Member,Medium,3,2,,Active,Prof. Nisha Gupta
64,Photography Club,Cultural,2025-08-18,Member,Medium,4,3,,Active,Prof. Nisha Gupta
66,Student Council,Other,2025-08-18,Member,Low,3,2,,Active,Prof. Nisha Gupta
66,Web Development Club,Technical,2025-08-25,Member,High,10,9,,Active,Prof. Nisha Gupta
68,Mathematics Club,Academic,2025-08-08,Active Member,Medium,6,5,,Active,Prof. Nisha Gupta
69,Dance Club,Cultural,2025-08-04,Member,High,8,6,Winner - Intra College Competition,Active,Prof. Nisha Gupta
69,Environmental Club,Social,2025-08-29,Member,Low,1,1,,Inactive,Prof. Nisha Gupta
70,Badminton Club,Sports,2025-08-29,Member,Medium,3,4,,Active,Prof. Nisha Gupta
70,Rotaract Club,Social,2025-08-20,Member,Medium,3,3,,Active,Prof. Nisha Gupta
71,Football Team,Sports,2025-08-11,Member,High,6,10,,Inactive,Prof. Nisha Gupta
72,AI/ML Club,Technical,2025-08-07,Active Member,Medium,4,5,Winner - Intra College Competition,Active,Prof. Nisha Gupta
72,Mathematics Club,Academic,2025-08-18,Active Member,Medium,6,4,Best Performer Award,Active,Prof. Nisha Gupta
75,Music Club,Cultural,2025-08-29,Member,Low,3,1,,Active,Prof. Nisha Gupta
78,Dance Club,Cultural,2025-08-11,Member,Medium,3,3,,Active,Prof. Nisha Gupta
79,NCC,Social,2025-08-06,Core Team,High,8,8,,Active,Prof. Nisha Gupta
80,Football Team,Sports,2025-08-24,Member,Low,3,0,,Active,Prof. Nisha Gupta
81,Basketball Team,Sports,2025-08-28,Member,Low,3,2,Best Performer Award,Active,Prof. Nisha Gupta
81,Student Council,Other,2025-08-29,Member,High,9,9,,Active,Prof. Nisha Gupta
82,Student Council,Other,2025-08-04,Member,Low,1,0,,Active,Prof. Nisha Gupta
82,Coding Club,Technical,2025-08-24,Active Member,Medium,3,4,,Active,Prof. Nisha Gupta
82,Photography Club,Cultural,2025-08-07,Member,High,9,7,,Active,Prof. Nisha Gupta
82,Football Team,Sports,2025-08-11,Member,Medium,6,2,,Active,Prof. Nisha Gupta
83,Basketball Team,Sports,2025-08-08,Member,Medium,5,4,,Active,Prof. Nisha Gupta
83,Robotics Club,Technical,2025-08-04,Member,Medium,5,4,,Inactive,Prof. Nisha Gupta
83,Event Management Team,Other,2025-08-29,Member,Medium,3,5,,Active,Prof. Nisha Gupta
84,Rotaract Club,Social,2025-08-06,Member,Low,3,1,,Active,Prof. Nisha Gupta
84,Event Management Team,Other,2025-08-25,Member,Medium,6,3,,Active,Prof. Nisha Gupta
84,Football Team,Sports,2025-08-08,Member,Medium,4,3,,Active,Prof. Nisha Gupta
85,Coding Club,Technical,2025-08-19,Member,Medium,6,4,,Active,Prof. Nisha Gupta
85,Music Club,Cultural,2025-08-15,Active Member,Medium,4,2,,Active,Prof. Nisha Gupta
87,Rotaract Club,Social,2025-08-02,Member,High,7,7,,Active,Prof. Nisha Gupta
87,Innovation Club,Academic,2025-08-09,Member,Medium,5,3,Winner - Inter College Competition,Active,Prof. Nisha Gupta
88,Basketball Team,Sports,2025-08-15,Active Member,Medium,3,4,Winner - Intra College Competition,Active,Prof. Nisha Gupta
88,Rotaract Club,Social,2025-08-10,Member,High,9,5,,Inactive,Prof. Nisha Gupta
89,Event Management Team,Other,2025-08-29,Active Member,Medium,6,4,Winner - Inter College Competition,Active,Prof. Nisha Gupta
93,Badminton Club,Sports,2025-08-10,Active Member,High,10,8,,Active,Prof. Nisha Gupta
93,Web Development Club,Technical,2025-08-25,Active Member,High,7,9,,Active,Prof. Nisha Gupta
94,Quiz Club,Academic,2025-08-30,Coordinator,Very High,13,20,,Active,Prof. Nisha Gupta
94,Music Club,Cultural,2025-08-05,Active Member,Medium,4,3,,Active,Prof. Nisha Gupta
94,Robotics Club,Technical,2025-08-16,Member,Medium,3,3,,Active,Prof. Nisha Gupta
94,Basketball Team,Sports,2025-08-15,Member,High,9,5,Winner - Inter College Competition,Active,Prof. Nisha Gupta
95,Cricket Team,Sports,2025-08-07,Member,Low,3,2,,Inactive,Prof. Nisha Gupta
95,Drama Club,Cultural,2025-08-28,Active Member,High,10,8,,Active,Prof. Nisha Gupta
95,NSS,Social,2025-08-07,Member,Medium,5,3,,Active,Prof. Nisha Gupta
95,Mathematics Club,Academic,2025-08-16,Member,Low,1,0,,Active,Prof. Nisha Gupta
96,Coding Club,Technical,2025-08-24,Member,Medium,4,3,,Active,Prof. Nisha Gupta
96,Student Council,Other,2025-08-26,Member,Medium,4,5,,Inactive,Prof. Nisha Gupta
97,NCC,Social,2025-08-16,Member,Low,3,1,,Active,Prof. Nisha Gupta
97,Research Club,Academic,2025-08-03,Active Member,High,9,5,Winner - Intra College Competition,Active,Prof. Nisha Gupta
99,Music Club,Cultural,2025-08-31,Core Team,High,9,6,,Active,Prof. Nisha Gupta
99,Web Development Club,Technical,2025-08-16,Member,High,9,10,,Active,Prof. Nisha Gupta
100,Mathematics Club,Academic,2025-08-06,Member,Medium,6,2,,Active,Prof. Nisha Gupta
100,AI/ML Club,Technical,2025-08-21,Member,Low,1,1,,Active,Prof. Nisha Gupta
100,Badminton Club,Sports,2025-08-24,Member,Low,2,1,,Active,Prof. Nisha Gupta
103,Environmental Club,Social,2025-08-15,Member,Low,2,1,,Active,Prof. Nisha Gupta
104,Dance Club,Cultural,2025-08-28,Active Member,Medium,6,5,Winner - Intra College Competition,Active,Prof. Nisha Gupta
105,Football Team,Sports,2025-08-27,Member,Low,2,0,Winner - Intra College Competition,Active,Prof. Nisha Gupta
105,Event Management Team,Other,2025-08-12,Active Member,High,8,7,,Inactive,Prof. Nisha Gupta
106,Event Management Team,Other,2025-08-13,Member,Low,3,2,,Active,Prof. Nisha Gupta
107,Innovation Club,Academic,2025-08-04,Active Member,Medium,6,3,Participation Certificate,Active,Prof. Nisha Gupta
107,NCC,Social,2025-08-14,Active Member,High,9,8,,Active,Prof. Nisha Gupta
107,Web Development Club,Technical,2025-08-24,Member,Low,2,1,,Active,Prof. Nisha Gupta
110,Web Development Club,Technical,2025-08-11,Member,Low,1,2,,Active,Prof. Nisha Gupta
111,NSS,Social,2025-08-22,Active Member,High,9,7,,Active,Prof. Nisha Gupta
111,Innovation Club,Academic,2025-08-29,Member,Low,2,1,,Active,Prof. Nisha Gupta
111,Photography Club,Cultural,2025-08-27,Member,Medium,5,4,,Inactive,Prof. Nisha Gupta
112,Cricket Team,Sports,2025-08-28,Active Member,Medium,5,5,,Active,Prof. Nisha Gupta
113,Student Council,Other,2025-08-11,Core Team,Very High,10,17,,Active,Prof. Nisha Gupta
113,Cricket Team,Sports,2025-08-28,President/Head,Very High,14,13,,Active,Prof. Nisha Gupta
114,Student Council,Other,2025-08-27,Active Member,High,9,7,,Active,Prof. Nisha Gupta
114,Web Development Club,Technical,2025-08-02,Active Member,High,9,8,,Active,Prof. Nisha Gupta
116,Student Council,Other,2025-08-28,Member,High,8,6,Participation Certificate,Active,Prof. Naveen Verma
116,Mathematics Club,Academic,2025-08-06,Member,Low,2,0,,Active,Prof. Naveen Verma
118,NSS,Social,2025-08-24,Member,Low,2,0,,Active,Prof. Naveen Verma
118,Student Council,Other,2025-08-23,Member,Medium,4,3,,Inactive,Prof. Naveen Verma
118,Cricket Team,Sports,2025-08-16,Core Team,Very High,13,15,,Active,Prof. Naveen Verma
118,Drama Club,Cultural,2025-08-28,Member,Low,2,2,Participation Certificate,Active,Prof. Naveen Verma
120,Environmental Club,Social,2025-08-20,Member,High,6,8,,Active,Prof. Naveen Verma
122,Web Development Club,Technical,2025-08-31,Member,Medium,6,4,,Active,Prof. Naveen Verma
124,Badminton Club,Sports,2025-08-16,Member,Medium,6,3,,Active,Prof. Naveen Verma
124,Coding Club,Technical,2025-08-03,Core Team,High,7,6,,Active,Prof. Naveen Verma
124,Event Management Team,Other,2025-08-08,Member,Medium,3,5,,Active,Prof. Naveen Verma
125,Cricket Team,Sports,2025-08-19,Member,High,8,10,,Active,Prof. Naveen Verma
125,NSS,Social,2025-08-05,Active Member,Medium,3,3,,Inactive,Prof. Naveen Verma
125,College Magazine,Other,2025-08-02,Active Member,Medium,5,2,,Inactive,Prof. Naveen Verma
125,Music Club,Cultural,2025-08-22,Core Team,High,7,5,,Active,Prof. Naveen Verma
126,Web Development Club,Technical,2025-08-06,Active Member,Medium,4,3,Winner - Inter College Competition,Active,Prof. Naveen Verma
126,Quiz Club,Academic,2025-08-14,Core Team,High,7,7,,Inactive,Prof. Naveen Verma
126,Badminton Club,Sports,2025-08-20,Active Member,Medium,6,2,,Active,Prof. Naveen Verma
128,Coding Club,Technical,2025-08-26,Core Team,Very High,12,20,,Active,Prof. Naveen Verma
129,Student Council,Other,2025-08-29,Active Member,Medium,3,4,,Active,Prof. Naveen Verma
132,Basketball Team,Sports,2025-08-07,Active Member,High,6,6,,Active,Prof. Naveen Verma
133,Basketball Team,Sports,2025-08-14,Member,Medium,6,4,,Active,Prof. Naveen Verma
133,Photography Club,Cultural,2025-08-02,Member,Medium,6,5,,Active,Prof. Naveen Verma
133,NCC,Social,2025-08-03,Active Member,Medium,6,2,,Active,Prof. Naveen Verma
134,College Magazine,Other,2025-08-14,Active Member,Medium,5,3,,Inactive,Prof. Naveen Verma
135,Music Club,Cultural,2025-08-14,Core Team,High,10,9,,Active,Prof. Naveen Verma
135,Research Club,Academic,2025-08-26,Member,High,8,8,Participation Certificate,Active,Prof. Naveen Verma
135,College Magazine,Other,2025-08-17,Member,Medium,5,5,Winner - Inter College Competition,Active,Prof. Naveen Verma
135,Environmental Club,Social,2025-08-04,Active Member,Medium,6,5,Best Performer Award,Active,Prof. Naveen Verma
140,Web Development Club,Technical,2025-08-16,Active Member,High,10,9,,Active,Prof. Naveen Verma
141,Quiz Club,Academic,2025-08-08,Member,Medium,5,3,,Active,Prof. Naveen Verma
142,NCC,Social,2025-08-14,Core Team,High,7,10,,Active,Prof. Naveen Verma
142,Coding Club,Technical,2025-08-13,Member,Low,3,2,Certificate of Excellence,Active,Prof. Naveen Verma
145,Football Team,Sports,2025-08-29,Coordinator,Very High,15,16,,Active,Prof. Naveen Verma
146,Music Club,Cultural,2025-08-02,Active Member,High,9,10,Best Performer Award,Active,Prof. Naveen Verma
149,Student Council,Other,2025-08-19,President/Head,Very High,12,17,,Active,Prof. Naveen Verma
150,Robotics Club,Technical,2025-08-21,Member,Medium,6,4,,Active,Prof. Naveen Verma
152,Drama Club,Cultural,2025-08-10,Active Member,High,9,10,Best Performer Award,Active,Prof. Naveen Verma
154,Robotics Club,Technical,2025-08-29,Member,Medium,3,4,Winner - Inter College Competition,Active,Prof. Naveen Verma
158,College Magazine,Other,2025-08-24,Core Team,Very High,12,20,,Active,Prof. Naveen Verma
158,Dance Club,Cultural,2025-08-22,Active Member,Medium,3,3,Certificate of Excellence,Inactive,Prof. Naveen Verma
158,NCC,Social,2025-08-24,Active Member,High,7,6,,Inactive,Prof. Naveen Verma
162,Basketball Team,Sports,2025-08-18,Member,High,8,10,,Active,Prof. Naveen Verma
165,College Magazine,Other,2025-08-19,Member,Low,3,0,Participation Certificate,Inactive,Prof. Naveen Verma
165,Photography Club,Cultural,2025-08-21,Member,Low,1,2,,Active,Prof. Naveen Verma
165,Football Team,Sports,2025-08-15,Member,High,7,6,Best Performer Award,Inactive,Prof. Naveen Verma
168,Dance Club,Cultural,2025-08-11,Member,Medium,3,4,,Active,Ms. Rajesh Ali
168,AI/ML Club,Technical,2025-08-19,Member,High,7,6,Participation Certificate,Active,Ms. Rajesh Ali
168,Football Team,Sports,2025-08-28,Member,Low,3,0,Best Performer Award,Active,Ms. Rajesh Ali
169,Music Club,Cultural,2025-08-26,Member,Medium,3,4,,Active,Ms. Rajesh Ali
169,Coding Club,Technical,2025-08-08,Member,Medium,6,4,Certificate of Excellence,Inactive,Ms. Rajesh Ali
170,Music Club,Cultural,2025-08-13,Member,Low,3,2,,Active,Ms. Rajesh Ali
170,Badminton Club,Sports,2025-08-15,Active Member,High,7,9,,Active,Ms. Rajesh Ali
170,College Magazine,Other,2025-08-26,Member,Medium,4,5,,Active,Ms. Rajesh Ali
170,Quiz Club,Academic,2025-08-02,Member,Medium,6,3,,Active,Ms. Rajesh Ali
171,Coding Club,Technical,2025-08-21,Member,Low,3,0,,Active,Ms. Rajesh Ali
171,Student Council,Other,2025-08-12,Member,Low,3,2,,Inactive,Ms. Rajesh Ali
172,Mathematics Club,Academic,2025-08-27,Member,Low,2,1,Winner - Intra College Competition,Inactive,Ms. Rajesh Ali
172,Badminton Club,Sports,2025-08-26,Member,High,7,8,,Active,Ms. Rajesh Ali
173,Coding Club,Technical,2025-08-06,President/Head,Very High,15,15,,Active,Ms. Rajesh Ali
173,Badminton Club,Sports,2025-08-28,Member,Low,3,1,,Active,Ms. Rajesh Ali
174,Football Team,Sports,2025-08-31,Member,Low,1,0,Winner - Inter College Competition,Active,Ms. Rajesh Ali
176,AI/ML Club,Technical,2025-08-08,Active Member,High,8,7,,Active,Ms. Rajesh Ali
176,Badminton Club,Sports,2025-08-02,Active Member,Medium,6,2,,Active,Ms. Rajesh Ali
176,Drama Club,Cultural,2025-08-15,Member,Low,2,0,,Active,Ms. Rajesh Ali
177,Rotaract Club,Social,2025-08-09,Active Member,High,6,9,,Active,Ms. Rajesh Ali
177,Music Club,Cultural,2025-08-23,Member,Low,1,2,,Active,Ms. Rajesh Ali
182,Environmental Club,Social,2025-08-06,Member,Low,1,0,,Active,Ms. Rajesh Ali
184,Dance Club,Cultural,2025-08-05,Active Member,High,6,6,,Inactive,Ms. Rajesh Ali
185,Basketball Team,Sports,2025-08-31,Active Member,Medium,6,3,Participation Certificate,Inactive,Ms. Rajesh Ali
185,Music Club,Cultural,2025-08-19,Member,High,10,7,,Active,Ms. Rajesh Ali
186,Basketball Team,Sports,2025-08-17,Active Member,High,10,10,Winner - Inter College Competition,Active,Ms. Rajesh Ali
186,Quiz Club,Academic,2025-08-13,Active Member,Medium,5,2,,Active,Ms. Rajesh Ali
186,Rotaract Club,Social,2025-08-03,Active Member,High,6,10,,Inactive,Ms. Rajesh Ali
187,Drama Club,Cultural,2025-08-19,Active Member,High,7,5,Participation Certificate,Active,Ms. Rajesh Ali
187,College Magazine,Other,2025-08-23,Member,Low,2,0,Best Performer Award,Active,Ms. Rajesh Ali
188,Badminton Club,Sports,2025-08-09,Active Member,High,7,6,,Active,Ms. Rajesh Ali
188,Mathematics Club,Academic,2025-08-12,Member,Medium,4,2,,Inactive,Ms. Rajesh Ali
188,Music Club,Cultural,2025-08-03,Member,Medium,5,3,,Active,Ms. Rajesh Ali
189,Quiz Club,Academic,2025-08-12,Core Team,High,10,10,Winner - Intra College Competition,Active,Ms. Rajesh Ali
191,Web Development Club,Technical,2025-08-23,Member,Medium,4,2,,Active,Ms. Rajesh Ali
192,NCC,Social,2025-08-04,Active Member,Medium,4,4,,Active,Ms. Rajesh Ali
192,Robotics Club,Technical,2025-08-10,Active Member,Medium,3,2,Best Performer Award,Active,Ms. Rajesh Ali
193,Basketball Team,Sports,2025-08-24,Member,Medium,4,4,,Active,Ms. Rajesh Ali
193,Music Club,Cultural,2025-08-24,Member,High,7,10,,Active,Ms. Rajesh Ali
193,Coding Club,Technical,2025-08-29,Member,Medium,4,4,,Active,Ms. Rajesh Ali
195,Web Development Club,Technical,2025-08-25,Member,Low,3,0,Winner - Inter College Competition,Active,Ms. Rajesh Ali
196,NCC,Social,2025-08-31,Core Team,High,7,8,,Active,Ms. Rajesh Ali
196,Innovation Club,Academic,2025-08-26,Member,Low,3,1,,Active,Ms. Rajesh Ali
196,Student Council,Other,2025-08-05,Active Member,Medium,5,5,,Active,Ms. Rajesh Ali
197,Cricket Team,Sports,2025-08-04,Member,Medium,3,5,,Active,Ms. Rajesh Ali
197,Environmental Club,Social,2025-08-18,Core Team,High,8,10,,Active,Ms. Rajesh Ali
198,NCC,Social,2025-08-20,Member,High,8,7,,Active,Ms. Rajesh Ali
198,Dance Club,Cultural,2025-08-18,Member,Medium,3,5,,Active,Ms. Rajesh Ali
200,Music Club,Cultural,2025-08-15,Active Member,Medium,4,5,,Active,Ms. Rajesh Ali
204,Drama Club,Cultural,2025-08-17,Member,Medium,6,4,,Active,Ms. Rajesh Ali
204,Event Management Team,Other,2025-08-26,Member,High,10,6,,Inactive,Ms. Rajesh Ali
205,Environmental Club,Social,2025-08-03,Coordinator,Very High,15,20,,Active,Ms. Rajesh Ali
206,NSS,Social,2025-08-21,Active Member,High,10,7,,Active,Ms. Rajesh Ali
207,Robotics Club,Technical,2025-08-10,Member,Low,1,2,Certificate of Excellence,Active,Ms. Rajesh Ali
210,NSS,Social,2025-08-05,Active Member,High,7,10,Winner - Intra College Competition,Active,Ms. Rajesh Ali
211,Badminton Club,Sports,2025-08-10,Active Member,Medium,3,5,,Active,Ms. Amit Kapoor
212,Environmental Club,Social,2025-08-31,Member,Low,2,0,,Active,Ms. Amit Kapoor
212,Robotics Club,Technical,2025-08-08,Core Team,Very High,12,14,,Active,Ms. Amit Kapoor
212,Innovation Club,Academic,2025-08-21,Active Member,Medium,5,4,,Active,Ms. Amit Kapoor
212,Photography Club,Cultural,2025-08-27,Active Member,Medium,3,3,,Active,Ms. Amit Kapoor
213,Coding Club,Technical,2025-08-15,Member,Low,1,0,,Active,Ms. Amit Kapoor
213,Research Club,Academic,2025-08-03,Active Member,Medium,6,3,,Active,Ms. Amit Kapoor
213,Student Council,Other,2025-08-10,Member,Low,1,0,,Active,Ms. Amit Kapoor
215,Innovation Club,Academic,2025-08-06,Member,Low,2,0,,Active,Ms. Amit Kapoor
215,Environmental Club,Social,2025-08-27,Member,Medium,4,3,,Inactive,Ms. Amit Kapoor
216,Cricket Team,Sports,2025-08-27,Active Member,High,10,8,,Inactive,Ms. Amit Kapoor
216,Mathematics Club,Academic,2025-08-03,President/Head,Very High,14,14,,Active,Ms. Amit Kapoor
216,College Magazine,Other,2025-08-15,Core Team,Very High,10,16,,Inactive,Ms. Amit Kapoor
218,Student Council,Other,2025-08-20,Member,Medium,5,4,,Active,Ms. Amit Kapoor
221,Innovation Club,Academic,2025-08-04,Member,Low,2,0,Winner - Intra College Competition,Active,Ms. Amit Kapoor
223,Photography Club,Cultural,2025-08-24,Member,High,8,6,,Active,Ms. Amit Kapoor
223,Research Club,Academic,2025-08-07,Active Member,High,7,8,,Active,Ms. Amit Kapoor
224,Rotaract Club,Social,2025-08-17,Member,Low,2,2,,Active,Ms. Amit Kapoor
224,Dance Club,Cultural,2025-08-10,Member,Medium,6,3,,Active,Ms. Amit Kapoor
225,Student Council,Other,2025-08-14,Member,Medium,6,2,,Active,Ms. Amit Kapoor
225,Coding Club,Technical,2025-08-23,Core Team,High,10,6,,Active,Ms. Amit Kapoor
226,Dance Club,Cultural,2025-08-20,Member,Low,2,1,,Inactive,Ms. Amit Kapoor
226,Rotaract Club,Social,2025-08-18,Active Member,High,7,10,,Active,Ms. Amit Kapoor
227,NCC,Social,2025-08-29,Active Member,Medium,6,2,,Inactive,Ms. Amit Kapoor
228,Dance Club,Cultural,2025-08-11,Active Member,Medium,4,4,Winner - Inter College Competition,Active,Ms. Amit Kapoor
232,Quiz Club,Academic,2025-08-31,Active Member,Medium,6,2,,Active,Ms. Amit Kapoor
233,Cricket Team,Sports,2025-08-19,Member,High,9,6,Certificate of Excellence,Active,Ms. Amit Kapoor
233,Event Management Team,Other,2025-08-18,Member,Low,1,0,,Active,Ms. Amit Kapoor
234,Environmental Club,Social,2025-08-18,Core Team,Very High,10,20,,Active,Ms. Amit Kapoor
234,Student Council,Other,2025-08-14,Member,Medium,5,5,,Active,Ms. Amit Kapoor
234,Badminton Club,Sports,2025-08-16,Member,Low,2,2,Winner - Intra College Competition,Active,Ms. Amit Kapoor
237,Mathematics Club,Academic,2025-08-28,Member,High,6,8,,Active,Ms. Amit Kapoor
237,College Magazine,Other,2025-08-13,President/Head,Very High,14,14,Certificate of Excellence,Active,Ms. Amit Kapoor
237,NCC,Social,2025-08-25,Member,Low,1,0,Certificate of Excellence,Active,Ms. Amit Kapoor
238,Badminton Club,Sports,2025-08-20,Member,Low,2,1,,Active,Ms. Amit Kapoor
