student_id,report_date,behavior_type,behavior,description,reported_by,severity
721,2025-10-20,Positive,Good Team Player,Works well in groups,Dr. Suresh Ahmed,Positive
721,2025-11-12,Negative,Late to Class,Frequently arrives late,Dr. Suresh Ahmed,Low
489,2025-11-25,Negative,Irregular Attendance,Missing classes without notice,Mr. Sonal Nair,High
779,2025-10-13,Positive,Excellent Participation,Always participates actively in class,Ms. Anita Shah,Positive
179,2025-10-26,Positive,Respectful Behavior,Shows respect to faculty and peers,Ms. Rajesh Ali,Positive
582,2025-10-04,Positive,Respectful Behavior,Shows respect to faculty and peers,Dr. Sunita Saxena,Positive
582,2025-09-21,Positive,Respectful Behavior,Shows respect to faculty and peers,Dr. Sunita Saxena,Positive
228,2025-09-17,Positive,Good Team Player,Works well in groups,Ms. Amit Kapoor,Positive
228,2025-09-15,Positive,Good Team Player,Works well in groups,Ms. Amit Kapoor,Positive
228,2025-09-16,Positive,Excellent Participation,Always participates actively in class,Ms. Amit Kapoor,Positive
677,2025-11-16,Positive,Helpful to Peers,Assists other students,Prof. Priya Arora,Positive
677,2025-11-23,Negative,Late to Class,Frequently arrives late,Prof. Priya Arora,High
517,2025-11-04,Positive,Punctual,Always on time for classes,Mr. Sonal Nair,Positive
517,2025-11-20,Positive,Excellent Participation,Always participates actively in class,Mr. Sonal Nair,Positive
517,2025-11-21,Negative,Late to Class,Frequently arrives late,Mr. Sonal Nair,Medium
189,2025-10-05,Negative,Distracted in Class,Not paying attention,Ms. Rajesh Ali,Low
189,2025-09-08,Positive,Helpful to Peers,Assists other students,Ms. Rajesh Ali,Positive
537,2025-11-29,Positive,Helpful to Peers,Assists other students,Mr. Rajesh Mukherjee,Positive
788,2025-11-20,Negative,Late to Class,Frequently arrives late,Ms. Anita Shah,Low
788,2025-10-17,Positive,Excellent Participation,Always participates actively in class,Ms. Anita Shah,Positive
788,2025-10-21,Positive,Excellent Participation,Always participates actively in class,Ms. Anita Shah,Positive
569,2025-11-07,Negative,Distracted in Class,Not paying attention,Dr. Sunita Saxena,Low
569,2025-11-09,Positive,Good Team Player,Works well in groups,Dr. Sunita Saxena,Positive
569,2025-11-06,Positive,Good Team Player,Works well in groups,Dr. Sunita Saxena,Positive
566,2025-10-18,Negative,Distracted in Class,Not paying attention,Dr. Sunita Saxena,High
566,2025-10-29,Positive,Respectful Behavior,Shows respect to faculty and peers,Dr. Sunita Saxena,Positive
839,2025-10-24,Positive,Good Team Player,Works well in groups,Ms. Alok Arora,Positive
839,2025-09-12,Positive,Respectful Behavior,Shows respect to faculty and peers,Ms. Alok Arora,Positive
839,2025-09-03,Positive,Helpful to Peers,Assists other students,Ms. Alok Arora,Positive
127,2025-10-09,Positive,Helpful to Peers,Assists other students,Prof. Naveen Verma,Positive
127,2025-10-15,Negative,Irregular Attendance,Missing classes without notice,Prof. Naveen Verma,High
508,2025-10-22,Positive,Respectful Behavior,Shows respect to faculty and peers,Mr. Sonal Nair,Positive
692,2025-10-11,Positive,Good Team Player,Works well in groups,Prof. Priya Arora,Positive
692,2025-09-21,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Priya Arora,Positive
787,2025-09-17,Positive,Excellent Participation,Always participates actively in class,Ms. Anita Shah,Positive
787,2025-11-03,Positive,Respectful Behavior,Shows respect to faculty and peers,Ms. Anita Shah,Positive
547,2025-11-16,Positive,Good Team Player,Works well in groups,Mr. Rajesh Mukherjee,Positive
547,2025-10-14,Positive,Respectful Behavior,Shows respect to faculty and peers,Mr. Rajesh Mukherjee,Positive
547,2025-10-23,Negative,Late to Class,Frequently arrives late,Mr. Rajesh Mukherjee,High
304,2025-11-26,Positive,Respectful Behavior,Shows respect to faculty and peers,Ms. Meera Patel,Positive
304,2025-11-08,Positive,Respectful Behavior,Shows respect to faculty and peers,Ms. Meera Patel,Positive
304,2025-09-07,Negative,Late to Class,Frequently arrives late,Ms. Meera Patel,High
116,2025-09-16,Negative,Irregular Attendance,Missing classes without notice,Prof. Naveen Verma,Low
116,2025-10-31,Negative,Distracted in Class,Not paying attention,Prof. Naveen Verma,Low
282,2025-10-23,Negative,Late to Class,Frequently arrives late,Ms. Meera Patel,High
543,2025-11-27,Negative,Late to Class,Frequently arrives late,Mr. Rajesh Mukherjee,Medium
543,2025-10-18,Positive,Excellent Participation,Always participates actively in class,Mr. Rajesh Mukherjee,Positive
543,2025-10-09,Positive,Punctual,Always on time for classes,Mr. Rajesh Mukherjee,Positive
199,2025-09-16,Negative,Late to Class,Frequently arrives late,Ms. Rajesh Ali,High
199,2025-09-17,Negative,Distracted in Class,Not paying attention,Ms. Rajesh Ali,Medium
478,2025-10-30,Positive,Excellent Participation,Always participates actively in class,Mr. Preeti Shah,Positive
478,2025-11-07,Positive,Respectful Behavior,Shows respect to faculty and peers,Mr. Preeti Shah,Positive
478,2025-09-29,Negative,Late to Class,Frequently arrives late,Mr. Preeti Shah,Low
202,2025-09-23,Positive,Helpful to Peers,Assists other students,Ms. Rajesh Ali,Positive
198,2025-10-31,Positive,Good Team Player,Works well in groups,Ms. Rajesh Ali,Positive
432,2025-11-09,Negative,Late to Class,Frequently arrives late,Prof. Alok Nair,High
432,2025-10-21,Negative,Late to Class,Frequently arrives late,Prof. Alok Nair,Low
835,2025-10-18,Positive,Helpful to Peers,Assists other students,Ms. Alok Arora,Positive
835,2025-09-13,Positive,Excellent Participation,Always participates actively in class,Ms. Alok Arora,Positive
835,2025-09-17,Negative,Distracted in Class,Not paying attention,Ms. Alok Arora,Low
634,2025-10-16,Positive,Punctual,Always on time for classes,Prof. Ramesh Choudhury,Positive
634,2025-10-13,Negative,Late to Class,Frequently arrives late,Prof. Ramesh Choudhury,Low
634,2025-10-12,Positive,Punctual,Always on time for classes,Prof. Ramesh Choudhury,Positive
812,2025-10-04,Negative,Late to Class,Frequently arrives late,Ms. Manoj Bhatia,Medium
812,2025-10-05,Positive,Excellent Participation,Always participates actively in class,Ms. Manoj Bhatia,Positive
188,2025-09-14,Positive,Helpful to Peers,Assists other students,Ms. Rajesh Ali,Positive
188,2025-11-06,Positive,Punctual,Always on time for classes,Ms. Rajesh Ali,Positive
188,2025-11-17,Negative,Late to Class,Frequently arrives late,Ms. Rajesh Ali,Low
859,2025-09-28,Positive,Excellent Participation,Always participates actively in class,Ms. Alok Arora,Positive
859,2025-10-01,Positive,Respectful Behavior,Shows respect to faculty and peers,Ms. Alok Arora,Positive
859,2025-09-12,Negative,Irregular Attendance,Missing classes without notice,Ms. Alok Arora,High
599,2025-10-14,Negative,Late to Class,Frequently arrives late,Prof. Ramesh Choudhury,Medium
599,2025-11-12,Positive,Excellent Participation,Always participates actively in class,Prof. Ramesh Choudhury,Positive
39,2025-10-21,Negative,Late to Class,Frequently arrives late,Mr. Vinod Khanna,Low
39,2025-10-30,Positive,Excellent Participation,Always participates actively in class,Mr. Vinod Khanna,Positive
39,2025-10-30,Positive,Excellent Participation,Always participates actively in class,Mr. Vinod Khanna,Positive
858,2025-09-24,Negative,Irregular Attendance,Missing classes without notice,Ms. Alok Arora,High
858,2025-11-06,Negative,Irregular Attendance,Missing classes without notice,Ms. Alok Arora,Low
167,2025-09-15,Positive,Respectful Behavior,Shows respect to faculty and peers,Ms. Rajesh Ali,Positive
463,2025-11-22,Positive,Respectful Behavior,Shows respect to faculty and peers,Mr. Preeti Shah,Positive
463,2025-10-30,Negative,Distracted in Class,Not paying attention,Mr. Preeti Shah,High
463,2025-11-21,Positive,Good Team Player,Works well in groups,Mr. Preeti Shah,Positive
767,2025-11-08,Positive,Helpful to Peers,Assists other students,Ms. Anita Shah,Positive
767,2025-11-26,Positive,Good Team Player,Works well in groups,Ms. Anita Shah,Positive
720,2025-09-29,Positive,Good Team Player,Works well in groups,Dr. Suresh Ahmed,Positive
120,2025-09-11,Positive,Helpful to Peers,Assists other students,Prof. Naveen Verma,Positive
16,2025-10-13,Negative,Distracted in Class,Not paying attention,Mr. Vinod Khanna,Medium
16,2025-11-15,Positive,Punctual,Always on time for classes,Mr. Vinod Khanna,Positive
16,2025-09-04,Negative,Irregular Attendance,Missing classes without notice,Mr. Vinod Khanna,Low
453,2025-09-18,Positive,Respectful Behavior,Shows respect to faculty and peers,Mr. Preeti Shah,Positive
453,2025-11-30,Positive,Good Team Player,Works well in groups,Mr. Preeti Shah,Positive
515,2025-11-08,Positive,Excellent Participation,Always participates actively in class,Mr. Sonal Nair,Positive
515,2025-11-19,Negative,Irregular Attendance,Missing classes without notice,Mr. Sonal Nair,High
817,2025-10-16,Positive,Respectful Behavior,Shows respect to faculty and peers,Ms. Manoj Bhatia,Positive
506,2025-09-03,Positive,Good Team Player,Works well in groups,Mr. Sonal Nair,Positive
722,2025-10-07,Positive,Good Team Player,Works well in groups,Dr. Suresh Ahmed,Positive
722,2025-10-12,Positive,Excellent Participation,Always participates actively in class,Dr. Suresh Ahmed,Positive
430,2025-10-02,Negative,Distracted in Class,Not paying attention,Prof. Alok Nair,Medium
430,2025-09-19,Negative,Late to Class,Frequently arrives late,Prof. Alok Nair,Low
430,2025-09-04,Positive,Excellent Participation,Always participates actively in class,Prof. Alok Nair,Positive
627,2025-11-10,Positive,Respectful Behavior,Shows respect to faculty and peers,Prof. Ramesh Choudhury,Positive
627,2025-10-04,Negative,Irregular Attendance,Missing classes without notice,Prof. Ramesh Choudhury,High
627,2025-09-12,Positive,Excellent Participation,Always participates actively in class,Prof. Ramesh Choudhury,Positive
662,2025-10-07,Positive,Respectful Behavior,Shows respect to faculty and peers,Mr. Ashok Shah,Positive
662,2025-10-09,Positive,Helpful to Peers,Assists other students,Mr. Ashok Shah,Positive
662,2025-09-28,Positive,Respectful Behavior,Shows respect to faculty and peers,Mr. Ashok Shah,Positive
2,2025-09-08,Positive,Punctual,Always on time for classes,Mr. Vinod Khanna,Positive
358,2025-10-20,Negative,Late to Class,Frequently arrives late,Dr. Preeti Joshi,High
710,2025-09-27,Negative,Irregular Attendance,Missing classes without notice,Dr. Suresh Ahmed,Low
618,2025-10-30,Negative,Irregular Attendance,Missing classes without notice,Prof. Ramesh Choudhury,High
618,2025-09-28,Positive,Helpful to Peers,Assists other students,Prof. Ramesh Choudhury,Positive
618,2025-11-07,Positive,Good Team Player,Works well in groups,Prof. Ramesh Choudhury,Positive
4,2025-10-08,Negative,Irregular Attendance,Missing classes without notice,Mr. Vinod Khanna,High
4,2025-09-27,Positive,Respectful Behavior,Shows respect to faculty and peers,Mr. Vinod Khanna,Positive
270,2025-09-30,Positive,Punctual,Always on time for classes,Ms. Meera Patel,Positive
173,2025-11-20,Negative,Distracted in Class,Not paying attention,Ms. Rajesh Ali,High
576,2025-10-17,Positive,Excellent Participation,Always participates actively in class,Dr. Sunita Saxena,Positive
576,2025-10-26,Positive,Excellent Participation,Always participates actively in class,Dr. Sunita Saxena,Positive
447,2025-10-10,Positive,Helpful to Peers,Assists other students,Mr. Preeti Shah,Positive
650,2025-10-17,Positive,Helpful to Peers,Assists other students,Mr. Ashok Shah,Positive
321,2025-11-28,Positive,Good Team Player,Works well in groups,Dr. Amit Sinha,Positive
321,2025-09-24,Positive,Respectful Behavior,Shows respect to faculty and peers,Dr. Amit Sinha,Positive
321,2025-11-24,Positive,Excellent Participation,Always participates actively in class,Dr. Amit Sinha,Positive
376,2025-09-14,Positive,Helpful to Peers,Assists other students,Dr. Preeti Joshi,Positive
804,2025-09-14,Negative,Late to Class,Frequently arrives late,Ms. Manoj Bhatia,High
804,2025-11-18,Positive,Respectful Behavior,Shows respect to faculty and peers,Ms. Manoj Bhatia,Positive
513,2025-10-22,Negative,Distracted in Class,Not paying attention,Mr. Sonal Nair,High
513,2025-10-15,Negative,Late to Class,Frequently arrives late,Mr. Sonal Nair,Medium
356,2025-09-21,Positive,Good Team Player,Works well in groups,Dr. Preeti Joshi,Positive
356,2025-09-10,Positive,Good Team Player,Works well in groups,Dr. Preeti Joshi,Positive
356,2025-10-30,Positive,Punctual,Always on time for classes,Dr. Preeti Joshi,Positive
423,2025-11-30,Positive,Good Team Player,Works well in groups,Prof. Alok Nair,Positive
526,2025-11-22,Negative,Distracted in Class,Not paying attention,Mr. Rajesh Mukherjee,High
526,2025-11-25,Positive,Good Team Player,Works well in groups,Mr. Rajesh Mukherjee,Positive
629,2025-09-18,Negative,Irregular Attendance,Missing classes without notice,Prof. Ramesh Choudhury,Low
629,2025-11-03,Positive,Excellent Participation,Always participates actively in class,Prof. Ramesh Choudhury,Positive
629,2025-09-25,Negative,Distracted in Class,Not paying attention,Prof. Ramesh Choudhury,Low
482,2025-11-16,Positive,Punctual,Always on time for classes,Mr. Sonal Nair,Positive
482,2025-11-17,Positive,Good Team Player,Works well in groups,Mr. Sonal Nair,Positive
285,2025-11-23,Negative,Late to Class,Frequently arrives late,Ms. Meera Patel,High
285,2025-11-12,Negative,Late to Class,Frequently arrives late,Ms. Meera Patel,Medium
285,2025-11-04,Positive,Excellent Participation,Always participates actively in class,Ms. Meera Patel,Positive
647,2025-11-28,Positive,Helpful to Peers,Assists other students,Mr. Ashok Shah,Positive
647,2025-09-18,Negative,Irregular Attendance,Missing classes without notice,Mr. Ashok Shah,Low
541,2025-09-13,Negative,Distracted in Class,Not paying attention,Mr. Rajesh Mukherjee,Low
541,2025-10-12,Positive,Punctual,Always on time for classes,Mr. Rajesh Mukherjee,Positive
377,2025-11-29,Positive,Respectful Behavior,Shows respect to faculty and peers,Dr. Preeti Joshi,Positive
377,2025-11-07,Positive,Respectful Behavior,Shows respect to faculty and peers,Dr. Preeti Joshi,Positive
377,2025-10-28,Positive,Respectful Behavior,Shows respect to faculty and peers,Dr. Preeti Joshi,Positive
89,2025-09-14,Negative,Irregular Attendance,Missing classes without notice,Prof. Nisha Gupta,Low
89,2025-11-07,Positive,Helpful to Peers,Assists other students,Prof. Nisha Gupta,Positive
816,2025-10-28,Negative,Irregular Attendance,Missing classes without notice,Ms. Manoj Bhatia,Medium
503,2025-10-28,Positive,Helpful to Peers,Assists other students,Mr. Sonal Nair,Positive
503,2025-09-14,Positive,Helpful to Peers,Assists other students,Mr. Sonal Nair,Positive
503,2025-10-04,Positive,Excellent Participation,Always participates actively in class,Mr. Sonal Nair,Positive
100,2025-10-01,Positive,Good Team Player,Works well in groups,Prof. Nisha Gupta,Positive
100,2025-11-20,Negative,Late to Class,Frequently arrives late,Prof. Nisha Gupta,High
100,2025-10-21,Negative,Distracted in Class,Not paying attention,Prof. Nisha Gupta,Medium
334,2025-10-20,Negative,Distracted in Class,Not paying attention,Dr. Amit Sinha,Medium
334,2025-11-10,Positive,Punctual,Always on time for classes,Dr. Amit Sinha,Positive
334,2025-09-14,Positive,Punctual,Always on time for classes,Dr. Amit Sinha,Positive
47,2025-11-19,Negative,Late to Class,Frequently arrives late,Mr. Vinod Khanna,Medium
86,2025-09-07,Positive,Excellent Participation,Always participates actively in class,Prof. Nisha Gupta,Positive
86,2025-11-03,Positive,Excellent Participation,Always participates actively in class,Prof. Nisha Gupta,Positive
86,2025-11-28,Positive,Good Team Player,Works well in groups,Prof. Nisha Gupta,Positive
46,2025-09-04,Positive,Good Team Player,Works well in groups,Mr. Vinod Khanna,Positive
46,2025-10-08,Negative,Late to Class,Frequently arrives late,Mr. Vinod Khanna,High
729,2025-09-24,Positive,Respectful Behavior,Shows respect to faculty and peers,Dr. Suresh Ahmed,Positive
729,2025-10-01,Negative,Late to Class,Frequently arrives late,Dr. Suresh Ahmed,Low
729,2025-09-02,Positive,Excellent Participation,Always participates actively in class,Dr. Suresh Ahmed,Positive
65,2025-10-02,Positive,Helpful to Peers,Assists other students,Prof. Nisha Gupta,Positive
65,2025-11-25,Positive,Helpful to Peers,Assists other students,Prof. Nisha Gupta,Positive
70,2025-11-10,Positive,Excellent Participation,Always participates actively in class,Prof. Nisha Gupta,Positive
553,2025-11-23,Positive,Punctual,Always on time for classes,Mr. Rajesh Mukherjee,Positive
553,2025-10-25,Positive,Respectful Behavior,Shows respect to faculty and peers,Mr. Rajesh Mukherjee,Positive
553,2025-10-19,Negative,Late to Class,Frequently arrives late,Mr. Rajesh Mukherjee,Low
448,2025-10-11,Negative,Late to Class,Frequently arrives late,Mr. Preeti Shah,High
56,2025-11-15,Positive,Helpful to Peers,Assists other students,Mr. Vinod Khanna,Positive
56,2025-11-10,Negative,Late to Class,Frequently arrives late,Mr. Vinod Khanna,Low
56,2025-10-21,Negative,Irregular Attendance,Missing classes without notice,Mr. Vinod Khanna,High
3,2025-10-25,Positive,Helpful to Peers,Assists other students,Mr. Vinod Khanna,Positive
472,2025-09-13,Positive,Good Team Player,Works well in groups,Mr. Preeti Shah,Positive
472,2025-11-19,Positive,Respectful Behavior,Shows respect to faculty and peers,Mr. Preeti Shah,Positive
472,2025-11-29,Negative,Distracted in Class,Not paying attention,Mr. Preeti Shah,High
494,2025-10-22,Positive,Good Team Player,Works well in groups,Mr. Sonal Nair,Positive
712,2025-10-06,Positive,Good Team Player,Works well in groups,Dr. Suresh Ahmed,Positive
712,2025-11-02,Positive,Punctual,Always on time for classes,Dr. Suresh Ahmed,Positive
712,2025-10-03,Negative,Late to Class,Frequently arrives late,Dr. Suresh Ahmed,High
411,2025-09-18,Positive,Punctual,Always on time for classes,Prof. Alok Nair,Positive
165,2025-10-12,Positive,Good Team Player,Works well in groups,Prof. Naveen Verma,Positive
165,2025-11-02,Positive,Helpful to Peers,Assists other students,Prof. Naveen Verma,Positive
360,2025-09-19,Positive,Excellent Participation,Always participates actively in class,Dr. Preeti Joshi,Positive
756,2025-10-18,Negative,Late to Class,Frequently arrives late,Ms. Anita Shah,High
601,2025-11-06,Positive,Good Team Player,Works well in groups,Prof. Ramesh Choudhury,Positive
601,2025-11-04,Positive,Good Team Player,Works well in groups,Prof. Ramesh Choudhury,Positive
103,2025-11-27,Positive,Punctual,Always on time for classes,Prof. Nisha Gupta,Positive
103,2025-10-03,Negative,Late to Class,Frequently arrives late,Prof. Nisha Gupta,Low
317,2025-10-04,Positive,Helpful to Peers,Assists other students,Dr. Amit Sinha,Positive
50,2025-10-09,Positive,Respectful Behavior,Shows respect to faculty and peers,Mr. Vinod Khanna,Positive
50,2025-10-31,Negative,Irregular Attendance,Missing classes without notice,Mr. Vinod Khanna,High
50,2025-09-21,Positive,Excellent Participation,Always participates actively in class,Mr. Vinod Khanna,Positive
373,2025-11-26,Negative,Irregular Attendance,Missing classes without notice,Dr. Preeti Joshi,High
373,2025-09-18,Negative,Irregular Attendance,Missing classes without notice,Dr. Preeti Joshi,Low
373,2025-09-11,Negative,Late to Class,Frequently arrives late,Dr. Preeti Joshi,Low
704,2025-09-04,Positive,Excellent Participation,Always participates actively in class,Dr. Suresh Ahmed,Positive
704,2025-11-19,Negative,Late to Class,Frequently arrives late,Dr. Suresh Ahmed,Low
342,2025-10-11,Positive,Good Team Player,Works well in groups,Dr. Amit Sinha,Positive
134,2025-10-10,Positive,Good Team Player,Works well in groups,Prof. Naveen Verma,Positive
134,2025-10-26,Positive,Excellent Participation,Always participates actively in class,Prof. Naveen Verma,Positive
